timestamp,datetime,open,high,low,close,volume
1780493400000,2026-06-03 13:30:00,67101.71,76707.8,66718.0,66744.29,73.16731
1780494300000,2026-06-03 13:45:00,66744.28,67036.45,57163.15,65418.35,20.22477
1780495200000,2026-06-03 14:00:00,53809.74,61015.52,42571.7,53451.04,5.46543
1780496100000,2026-06-03 14:15:00,58483.79,64000.0,44958.65,45397.7,4.46246
1780497000000,2026-06-03 14:30:00,45389.39,62609.2,40697.33,40812.38,4.27736
1780497900000,2026-06-03 14:45:00,42244.39,56116.48,35456.7,35725.7,3.0763
1780498800000,2026-06-03 15:00:00,35515.63,47233.07,22812.3,24822.22,3.66233
1780499700000,2026-06-03 15:15:00,30970.57,31228.1,17692.92,17820.89,3.58581
1780500600000,2026-06-03 15:30:00,17820.89,23055.38,11788.77,14424.2,3.6259
1780501500000,2026-06-03 15:45:00,16012.36,16093.1,7835.27,7835.27,8.40786
1780502400000,2026-06-03 16:00:00,8178.2,10517.41,6490.4,6546.8,10.96736
1780503300000,2026-06-03 16:15:00,6513.58,6719.93,3483.19,3533.09,13.43891
1780504200000,2026-06-03 16:30:00,3533.09,4231.29,2170.37,2905.0,19.17701
1780505100000,2026-06-03 16:45:00,2914.5,3150.8,1672.52,1748.41,26.10678
1780506000000,2026-06-03 17:00:00,1748.41,2163.2,1196.91,1280.2,24.76739
1780506900000,2026-06-03 17:15:00,1285.8,1408.8,916.38,1031.5,41.33556
1780507800000,2026-06-03 17:30:00,1022.9,1168.97,847.88,1024.0,45.19883
1780508700000,2026-06-03 17:45:00,1015.7,1072.56,802.04,853.84,23.24759
1780509600000,2026-06-03 18:00:00,846.3,1249.36,846.3,1187.5,31.44769
1780510500000,2026-06-03 18:15:00,1187.5,1361.56,1133.8,1290.1,14.05892
1780511400000,2026-06-03 18:30:00,1290.1,2175.35,1241.18,2039.7,21.77739
1780512300000,2026-06-03 18:45:00,2019.3,2895.63,1740.0,2526.1,14.21483
1780513200000,2026-06-03 19:00:00,2546.5,2854.0,1768.73,2067.8,32.77972
1780514100000,2026-06-03 19:15:00,2068.0,2439.44,1719.4,1787.9,19.69879
1780515000000,2026-06-03 19:30:00,1796.5,2098.4,1500.18,1540.9,27.49597
